task_id	soc_code	task	is_manual	rationale
10062	51-3091.00	Observe flow of materials and listen for machine malfunctions, such as jamming or spillage, and notify supervisors if corrective actions fail.	True	Primary execution requires physical presence at work site to observe material flow and listen for machine malfunctions in real-time.
10297	51-4192.00	Lay out and fabricate metal structural parts such as plates, bulkheads, and frames.	True	Task requires physical manipulation of metal materials, operation of fabrication tools/machinery, and hands-on construction of structural components.
10312	51-4193.00	Set up, operate, or tend plating or coating machines to coat metal or plastic products with chromium, zinc, copper, cadmium, nickel, or other metal to protect or decorate surfaces.	True	Setting up, operating, and tending plating/coating machines requires hands-on operation of physical equipment and machinery to execute the coating process.
10349	51-4194.00	Monitor machine operations to determine whether adjustments are necessary, stopping machines when problems occur.	True	Requires physical operation of machinery—monitoring equipment, making mechanical adjustments, and operating shutdown controls.
10405	51-5111.00	Operate and maintain laser plate-making equipment that converts electronic data to plates without the use of film.	True	Involves operating and maintaining physical laser equipment—direct hands-on manipulation and operation of machinery.
10675	53-4013.00	Inspect track for defects such as broken rails and switch malfunctions.	True	Physical inspection of rails and switches requires being on-site, examining and touching track infrastructure for visible and tactile defects.
10726	53-6031.00	Test and charge batteries.	True	Physical manipulation and operation of batteries and charging equipment required.
11356	43-5052.00	Report any unusual circumstances concerning mail delivery, including the condition of street letter boxes.	True	Requires physical inspection of letter boxes and street conditions; involves observing and assessing tangible objects on-site.
11433	47-1011.00	Provide assistance to workers engaged in construction or extraction activities, using hand tools or other equipment.	True	Assisting with construction/extraction using hand tools requires direct physical manipulation and operation of equipment at work sites.
11508	47-2121.00	Assemble and cement sections of stained glass together.	True	Assembling and cementing glass sections requires physical manipulation of tangible objects and hands-on craftsmanship.
11518	47-2141.00	Remove fixtures such as pictures, door knobs, lamps, or electric switch covers prior to painting.	True	Removing fixtures requires physical manipulation of tangible objects like pictures, doorknobs, and lamps.
11591	47-4041.00	Remove asbestos or lead from surfaces, using hand or power tools such as scrapers, vacuums, or high-pressure sprayers.	True	Primary execution requires physical operation of hand/power tools (scrapers, vacuums, sprayers) and manipulation of contaminated surfaces.
11660	49-2022.00	Assemble and install communication equipment such as data and telephone communication lines, wiring, switching equipment, wiring frames, power apparatus, computer systems, and networks.	True	Task requires physical manipulation of equipment, wiring, and systems installation—hands-on assembly and operational work.
11683	49-2022.00	Clean switches and replace contact points, using vacuum hoses, solvents, and hand tools.	True	Task requires physical manipulation of equipment, use of hand tools, solvents, and vacuum hoses to clean and repair switches—hands-on mechanical work.
11721	49-2092.00	Test battery charges, and replace or recharge batteries as necessary.	True	Requires physical manipulation of batteries—testing, replacing, and recharging them involves tangible object handling.
11782	49-9012.00	Lubricate wearing surfaces of mechanical parts, using oils or other lubricants.	True	Requires physical manipulation of mechanical parts and application of lubricants using tools or hands.
11795	49-9012.00	Trace and tag meters or house lines.	True	Tracing and tagging meters requires physical presence on-site to locate, inspect, mark, and label utility lines and meters in the field.
11797	49-9012.00	Vary air pressure flowing into regulators and turn handles to assess functioning of valves and pistons.	True	Physically manipulating equipment (turning handles) and operating machinery (varying air pressure in regulators) to test valve and piston functionality.
11906	51-2021.00	Cut, strip, and bend wire leads at ends of coils, using pliers and wire scrapers.	True	Task requires physical manipulation of wire using hand tools (pliers, scrapers) to cut, strip, and bend materials.
12056	51-4071.00	Tend machines that bond cope and drag together to form completed shell molds.	True	Operating machines that physically bond shell mold components together requires hands-on machinery operation and physical oversight at the work site.
12242	51-7032.00	Select lumber to be used for patterns.	True	Selecting lumber involves physically examining and manipulating wood materials to choose appropriate pieces for use in patterns.
12440	51-9032.00	Tighten pulleys or add abrasives to maintain cutting speeds.	True	Tightening pulleys and adding abrasives require physical manipulation of equipment parts to maintain machinery.
12493	51-9061.00	Grade, classify, or sort products according to sizes, weights, colors, or other specifications.	True	Grading and sorting products requires physical handling, inspection, and manipulation of tangible items based on visible specifications.
12576	51-9141.00	Clean semiconductor wafers using cleaning equipment, such as chemical baths, automatic wafer cleaners, or blow-off wands.	True	Requires physical operation of cleaning equipment and manipulation of wafers, chemical handling, and hands-on equipment operation.
13352	45-2041.00	Place products in containers according to grade and mark grades on containers.	True	Task requires physical manipulation of products, placing them into containers, and physically marking containers—hands-on work.
13505	47-2081.00	Fit and fasten wallboard or drywall into position on wood or metal frameworks, using glue, nails, or screws.	True	Physical manipulation of materials (wallboard), use of tools (nails, screws, glue application), and hands-on assembly work.
13607	47-3011.00	Move or position materials such as marble slabs, using cranes, hoists, or dollies.	True	Operating cranes, hoists, and dollies to move and position marble slabs is physical equipment operation requiring hands-on machinery use.
13654	47-4061.00	Observe leveling indicator arms to verify levelness and alignment of tracks.	True	Physical inspection requiring being on-site to observe and verify leveling indicators and track alignment.
13685	47-5023.00	Perform pumping tests to assess well performance.	True	Pumping tests require operation of pumping equipment and hands-on measurement of well performance on-site.
13708	47-5081.00	Clean and prepare sites for excavation or boring.	True	Requires physical site preparation, debris removal, marking, and equipment setup at the work location.
13753	49-3041.00	Test and replace electrical components and wiring, using test meters, soldering equipment, and hand tools.	True	Task requires physical manipulation of electrical components, operation of soldering equipment and hand tools, and hands-on testing/replacement work.
13800	49-9031.00	Observe and test operation of appliances following installation, and make any initial installation adjustments that are necessary.	True	Requires physical operation of appliances, hands-on testing, and direct adjustment of equipment after installation.
13859	49-9092.00	Inspect and test docks, ships, buoyage systems, plant intakes or outflows, or underwater pipelines, cables, or sewers, using closed circuit television, still photography, and testing equipment.	True	Requires operating specialized equipment (closed circuit television, photography gear, testing devices) and physical inspection at work sites to examine underwater/dock infrastructure.
13861	49-9092.00	Cut and weld steel, using underwater welding equipment, jigs, and supports.	True	Primary execution requires operating welding equipment, physically manipulating steel, and using tools and jigs underwater—all manual, hands-on work.
13981	51-2051.00	Mask off mold areas not to be laminated, using cellophane, wax paper, masking tape, or special sprays containing mold-release substances.	True	Task involves physical manipulation of masking materials and application of sprays to mold surfaces using tangible objects and tools.
14201	51-6064.00	Unwind lengths of yarn, thread, or twine from spools and wind onto bobbins.	True	Physical manipulation of yarn/thread and operation of winding equipment requires hands-on work with tangible materials.
14228	51-6093.00	Fit, install, and secure material on frames, using hand tools, power tools, glue, cement, or staples.	True	Task requires physical manipulation of materials and operation of hand/power tools to fit, install, and secure items on frames.
14323	51-8093.00	Perform tests to check the qualities and grades of products, such as assessing levels of bottom sediment, water, and foreign materials in oil samples, using centrifugal testers.	True	Performing tests on oil samples using centrifugal testers requires operating physical machinery and handling tangible samples to assess product quality.
14355	51-9031.00	Count or weigh and bundle items.	True	Counting, weighing, and bundling items requires physical manipulation and handling of tangible objects.
14356	51-9031.00	Mark cutting lines around patterns or templates, or follow layout points, using squares, rules, and straightedges, and chalk, pencils, or scribes.	True	Involves physical manipulation of tools (squares, rules, straightedges, chalk, pencils, scribes) and marking material surfaces—requires hands-on execution.
14357	51-9031.00	Unroll, lay out, attach, or mount materials or items on cutting tables or machines.	True	Task requires physical manipulation of materials—unrolling, laying out, and mounting items on machines. Direct hands-on execution.
14550	53-5022.00	Perform general labor duties such as repairing booms.	True	Repairing booms requires physical manipulation of equipment and tools to fix tangible machinery components.
14599	53-7071.00	Operate power-driven pumps that transfer liquids, semi-liquids, gases, or powdered materials.	True	Operating power-driven pumps involves physical equipment operation and control to transfer materials, requiring hands-on manipulation and monitoring of machinery.
16722	17-3029.08	Assemble or adjust parts or related electrical units of prototypes to prepare for testing.	True	Assembling and adjusting physical parts requires hands-on manipulation of electrical components and mechanical objects.
17017	25-2059.01	Provide adapted physical education services to students with intellectual disabilities, autism, traumatic brain injury, orthopedic impairments, or other disabling condition.	True	Providing adapted PE services requires hands-on physical demonstration, movement instruction, and bodily presence to guide, support, and instruct students through physical activities and exercises.
17188	29-1222.00	Diagnose infections, such as Hepatitis B and Acquired Immune Deficiency Syndrome (AIDS), by conducting tests to detect the antibodies that patients' immune systems make to fight such infections.	True	Conducting diagnostic tests involves physical manipulation of lab equipment, specimens, and samples to detect antibodies—hands-on laboratory work.
17469	29-9099.01	Assess birthing environments to ensure cleanliness, safety, and the availability of appropriate supplies.	True	Assessing birthing environments requires physical presence and inspection of tangible conditions, supplies, and equipment on-site.
17581	35-3023.01	Prepare or serve hot or cold beverages, such as coffee, espresso drinks, blended coffees, or teas.	True	Requires physical manipulation of equipment, ingredients, and containers to prepare and serve beverages.
17741	47-2231.00	Install active solar systems, including solar collectors, concentrators, pumps, or fans.	True	Requires physical installation of equipment components including collectors, pumps, and fans on site.
17784	47-2152.04	Apply weather seal, such as pipe flashings and sealants, to roof penetrations and structural devices.	True	Applying sealants and flashings requires physical manipulation of materials and tools on the roof to seal penetrations.
17863	51-8013.03	Operate equipment to start, stop, or regulate biomass-fueled generators, generator units, boilers, engines, or auxiliary systems.	True	Operating equipment (generators, boilers, engines) requires hands-on manipulation of controls and physical machinery operation at the work site.
18191	17-2199.07	Develop laser-processed designs, such as laser-cut medical devices.	True	Operating laser equipment to process and cut materials into designs requires hands-on operation of physical machinery and tools.
18310	29-1141.01	Set up, operate, or monitor invasive equipment and devices, such as colostomy or tracheotomy equipment, mechanical ventilators, catheters, gastrointestinal tubes, and central lines.	True	Direct physical manipulation and operation of medical devices and equipment on patients requires hands-on clinical execution.
18311	29-1141.01	Obtain specimens or samples for laboratory work.	True	Obtaining specimens/samples requires physical collection, handling, and manipulation of tangible materials for lab work.
19368	31-1132.00	Transport specimens, laboratory items, or pharmacy items, ensuring proper documentation and delivery to authorized personnel.	True	Transporting physical items requires physical movement and handling of tangible objects to authorized locations.
19395	31-9097.00	Train other medical personnel in phlebotomy or laboratory techniques.	True	Training involves demonstrating hands-on phlebotomy and lab techniques physically to students, not just verbal instruction.
19401	49-2021.00	Inspect completed work to ensure all hardware is tight, antennas are level, hangers are properly fastened, proper support is in place, or adequate weather proofing has been installed.	True	Physical inspection requires being on-site, examining hardware, antennas, and hangers to verify tightness, levelness, and fastening—requires hands-on assessment and tangible object interaction.
20396	19-4013.00	Perform regular maintenance of laboratory equipment by inspecting, calibrating, cleaning, or sterilizing.	True	Task requires hands-on physical manipulation and inspection of laboratory equipment—inspecting, calibrating, cleaning, sterilizing are all physical maintenance activities.
20526	19-4012.00	Measure or weigh ingredients used in laboratory testing.	True	Measuring and weighing ingredients requires physical manipulation of laboratory equipment (scales, measuring devices) and handling of tangible materials.
20656	49-3093.00	Assist mechanics and perform various mechanical duties, such as changing oil or checking and replacing batteries.	True	Requires physical manipulation of vehicle components: draining/changing oil, removing/replacing batteries. Hands-on mechanical work.
22454	25-9042.00	Assist in bus loading and unloading.	True	Loading and unloading involves physical handling and movement of luggage/cargo and bodies on/off a bus.
23190	39-4012.00	Sweep or vacuum the cremation chamber to retrieve remains for storage in an urn or other container.	True	Physical manipulation and collection of cremated remains using tools (sweeping/vacuuming) and transferring to containers.
23432	47-2031.00	Measure and mark cutting lines on materials, using a ruler, pencil, chalk, and marking gauge.	True	Requires physical use of tools (ruler, pencil, chalk, gauge) and manual marking of tangible materials.
23435	47-2031.00	Verify trueness of structure, using plumb bob and level.	True	Using plumb bob and level requires physical manipulation of measuring tools and hands-on inspection of structures.
23500	47-5044.00	Guide and stop cars by switching, applying brakes, or placing scotches, or wooden wedges, between wheels and rails.	True	Task requires physical manipulation of objects (scotches, wedges), operation of brakes, and manual positioning of tangible items to control cars.
23589	51-4121.00	Connect and turn regulator valves to activate and adjust gas flow and pressure so that desired flames are obtained.	True	Physically connecting and turning regulator valves requires hands-on manipulation of tangible objects and equipment to control gas flow and pressure.
23785	53-4022.00	Inspect locomotives to detect damaged or worn parts.	True	Inspecting locomotives requires physical presence, hands-on examination, and touching/visual inspection of parts for damage and wear.
23996	29-1024.00	Examine patients to diagnose oral health conditions and diseases.	True	Physical examination of patients' mouths requires hands-on inspection, manipulation, and direct sensory assessment of oral structures.
2402	41-2011.00	Count money in cash drawers at the beginning of shifts to ensure that amounts are correct and that there is adequate change.	True	Requires physical manipulation of cash and coins, counting and handling tangible currency objects in drawers.
2938	49-3021.00	Prime and paint repaired surfaces, using paint sprayguns and motorized sanders.	True	Requires operation of physical tools (paint sprayers, motorized sanders) and manual manipulation of surfaces for priming and painting.
2954	49-3021.00	Fit and secure windows, vinyl roofs, and metal trim to vehicle bodies, using caulking guns, adhesive brushes, and mallets.	True	Task requires physical manipulation of tools (caulking guns, adhesive brushes, mallets) and materials (windows, vinyl roofs, trim) on vehicle bodies.
3037	49-9071.00	Fabricate or repair counters, benches, partitions, or other wooden structures, such as sheds or outbuildings.	True	Primary execution requires physical manipulation of wood and tools to fabricate, assemble, or repair structures. Hands-on construction work.
3151	53-3052.00	Load and unload baggage in baggage compartments.	True	Requires physical manipulation—lifting, carrying, and placing baggage into/from compartments.
373	29-1123.00	Test and measure patient's strength, motor development and function, sensory perception, functional capacity, or respiratory or circulatory efficiency and record data.	True	Physical examination and hands-on testing of patient strength, motor function, and sensory perception requires direct physical interaction with the patient.
4032	27-4031.00	Operate zoom lenses, changing images according to specifications and rehearsal instructions.	True	Operating zoom lenses involves physical manipulation of camera equipment and tools to adjust imaging based on specifications and instructions.
4073	29-1071.00	Examine patients to obtain information about their physical condition.	True	Examining patients requires physical interaction—palpation, vital sign measurement, and hands-on assessment.
4132	29-2031.00	Conduct electrocardiogram (EKG), phonocardiogram, echocardiogram, stress testing, or other cardiovascular tests to record patients' cardiac activity, using specialized electronic test equipment, recording devices, or laboratory instruments.	True	Performing cardiovascular tests requires operating specialized medical equipment, attaching devices to patients, and hands-on technical execution to record cardiac activity.
4249	31-1121.00	Perform a variety of duties as requested by client, such as obtaining household supplies or running errands.	True	Obtaining household supplies and running errands requires physical movement, shopping, and handling/carrying goods.
4277	31-2022.00	Transport patients to and from treatment areas, using wheelchairs or providing standing support.	True	Task requires physical manipulation and bodily movement to operate wheelchairs and provide hands-on support for patient mobility.
4519	39-4021.00	Clean and drive funeral vehicles, such as cars or hearses, in funeral processions.	True	Cleaning vehicles involves physical manipulation and maintenance work; driving requires operation of a motor vehicle.
4850	47-3013.00	Bolt component parts together to form tower assemblies, using hand tools.	True	Task involves physical manipulation of components using hand tools to assemble tower structures.
4930	51-3092.00	Fill processing or cooking containers, such as kettles, rotating cookers, pressure cookers, or vats, with ingredients, by opening valves, by starting pumps or injectors, or by hand.	True	Requires physical manipulation of containers and equipment (opening valves, starting pumps, manual filling).
4998	53-7061.00	Drive vehicles to or from workshops or customers' workplaces or homes.	True	Operating a vehicle requires physical manipulation of controls and active bodily engagement with machinery and the road.
5544	19-4012.00	Maintain or repair agricultural facilities, equipment, or tools to ensure operational readiness, safety, and cleanliness.	True	Maintaining and repairing facilities, equipment, and tools requires hands-on physical manipulation and operation of tools to ensure functionality.
636	39-5012.00	Cut, trim and shape hair or hairpieces, based on customers' instructions, hair type, and facial features, using clippers, scissors, trimmers and razors.	True	Requires physical manipulation of tools (clippers, scissors, razors) and direct hands-on cutting/shaping of hair.
642	39-5012.00	Operate cash registers to receive payments from patrons.	True	Operating a cash register requires physical manipulation of objects (cash, cards, buttons) and interaction with a physical device.
6504	25-2012.00	Provide a variety of materials and resources for children to explore, manipulate, and use, both in learning activities and in imaginative play.	True	Providing and arranging physical materials requires hands-on manipulation of tangible objects for children's learning and play activities.
7029	45-4011.00	Perform fire protection or suppression duties, such as constructing fire breaks or disposing of brush.	True	Constructing fire breaks and disposing of brush requires physical labor, tool use, and direct manipulation of materials and terrain.
7394	17-2061.00	Monitor functioning of equipment and make necessary modifications to ensure system operates in conformance with specifications.	True	Monitoring and modifying equipment requires physical inspection, hands-on adjustment, and operation of machinery to ensure conformance with specifications.
7744	29-1024.00	Design and fabricate dental prostheses, or supervise dental technicians and laboratory bench workers who construct the devices.	True	Design AND fabricate requires physical manipulation of materials/tools. Supervision alone would be text-based, but the task includes actual fabrication work.
7886	31-9011.00	Use complementary aids, such as infrared lamps, wet compresses, ice, and whirlpool baths to promote clients' recovery, relaxation, and well-being.	True	Applying physical therapeutic aids (lamps, compresses, ice, whirlpool baths) requires direct hands-on manipulation and bodily presence to deliver treatment to clients.
7928	33-3031.00	Investigate crop, property, or habitat damage or destruction or instances of water pollution to determine causes and to advise property owners of preventive measures.	True	Requires physical on-site investigation of damage, inspecting objects, taking samples, and direct observation of environmental conditions.
8276	47-3012.00	Perform tie spacing layout and measure, mark, drill or cut.	True	Involves physical measurement, marking, drilling, and cutting—hands-on work with tangible materials and tools.
8323	49-3022.00	Check for and remove moisture or contamination in damaged areas and keep areas dry until repairs are complete.	True	Requires physical inspection of damaged areas, removing moisture/contamination, and maintaining dry conditions—hands-on environmental management.
8430	49-9051.00	Cut and peel lead sheathing and insulation from defective or newly installed cables and conduits prior to splicing.	True	Cutting and peeling lead sheathing requires physical manipulation of cables and tools to remove material from tangible objects.
9549	37-2011.00	Clean and polish furniture and fixtures.	True	Physical manipulation of objects using cleaning and polishing materials and tools to clean and polish tangible furniture and fixtures.
9563	37-2012.00	Replenish supplies, such as drinking glasses, linens, writing supplies, and bathroom items.	True	Task involves physically handling and placing tangible items (glasses, linens, supplies) in designated locations.
9593	37-3011.00	Prune or trim trees, shrubs, or hedges, using shears, pruners, or chain saws.	True	Requires physical operation of tools (shears, pruners, chain saws) and manual manipulation to cut vegetation.
9944	49-2091.00	Assemble prototypes or models of circuits, instruments, and systems for use in testing.	True	Assembling prototypes requires physical manipulation of components, soldering, wiring, and hands-on construction of circuits and instruments.
9992	49-3043.00	Repair, fabricate, and install steel or wood fittings, using blueprints, shop sketches, and instruction manuals.	True	Primary execution involves fabricating, installing, and physically manipulating steel/wood fittings—requires hands-on construction work and tool operation.
